strategy,family,symbol,asset_class,kind,cadence,score,label,broken,sharpe_annual,best_sharpe_annual,search_premium,n_trials,bars,years,first_date,last_date,fingerprint,shipped_json,best_params_json,seed
bollinger-breakout,breakout,DOT-USD,crypto,alt,hourly,1.6417399172629181,NO EDGE FOUND,0,-1.6541880954797539,0.05636922830398085,1.7105573237837348,16,40000,4.566210045662101,2022-01-02,2026-07-28,d675801828c208fa,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 30}",714425116
bollinger-breakout,breakout,EEM,equity,index,daily,0.10000000000000002,NO EDGE FOUND,0,-0.386531693403531,0.0,0.386531693403531,16,5858,23.246031746031747,2003-04-14,2026-07-27,c8ebdb1ae87027e1,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",458361409
bollinger-breakout,breakout,EFA,equity,index,daily,0.3825544170982084,NO EDGE FOUND,0,-0.479602332843874,0.0,0.479602332843874,16,6000,23.80952380952381,2002-09-18,2026-07-27,a472ac6fb00ff055,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",3749329098
bollinger-breakout,breakout,ETH-USD,crypto,major,daily,14.51336856725105,NO EDGE FOUND,0,0.004694959298472805,0.7397018989201554,0.7350069396216825,16,3000,8.219178082191782,2018-05-12,2026-07-28,0b36fa00fd099bc2,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 30}",2757812249
bollinger-breakout,breakout,ETH-USD,crypto,major,daily-matched,9.922631649754496,NO EDGE FOUND,0,0.08148730492485315,0.8349537571380805,0.7534664522132274,16,1668,4.5698630136986305,2022-01-03,2026-07-28,68d32867ea45185c,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",4161748334
bollinger-breakout,breakout,ETH-USD,crypto,major,hourly,0.41075059194238134,NO EDGE FOUND,0,-1.636687252458907,0.0,1.636687252458907,16,40000,4.566210045662101,2022-01-02,2026-07-28,3c05b7f9c28f9b7d,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",1396679527
bollinger-breakout,breakout,F,equity,single-name,daily,20.51807552328456,LIKELY OVERFIT,0,0.1268687264016188,0.4772852247592291,0.35041649835761024,16,6000,23.80952380952381,2002-09-19,2026-07-27,d2c0f0b96a18dd23,"{""k"": 2.0, ""n"": 20}","{""k"": 1.5, ""n"": 30}",2973408273
bollinger-breakout,breakout,GE,equity,single-name,daily,11.01563634254042,NO EDGE FOUND,0,0.1015222870016232,0.3004046770142968,0.1988823900126736,16,6000,23.80952380952381,2002-09-19,2026-07-27,4ad8226fee193138,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 10}",2661743004
bollinger-breakout,breakout,GLD,equity,commodity,daily,15.430797147623663,NO EDGE FOUND,0,0.14954707517930155,0.4830907582266473,0.3335436830473458,16,5454,21.642857142857142,2004-11-18,2026-07-27,af69683b4c620ffa,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 10}",4205653312
bollinger-breakout,breakout,INTC,equity,single-name,daily,0.38143745276032115,NO EDGE FOUND,0,-0.37395237266424014,0.31841865407058384,0.692371026734824,16,6000,23.80952380952381,2002-09-19,2026-07-27,33152b0096f0d5d7,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 30}",4147882308
bollinger-breakout,breakout,IWM,equity,index,daily,0.41715462244061186,NO EDGE FOUND,0,-0.2700709665576749,0.34375978647733324,0.6138307530350081,16,6000,23.80952380952381,2002-09-19,2026-07-27,76e228bf76b60551,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",1827352846
bollinger-breakout,breakout,JNJ,equity,single-name,daily,0.5207362659832772,NO EDGE FOUND,0,-0.19188445921461866,0.2532053796877723,0.44508983890239096,16,6000,23.80952380952381,2002-09-19,2026-07-27,b6d05f459c105a4f,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",3042633827
